,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,
,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate
2020 LGA Name,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate
Banyule (C),"123,584",842,5.2,,"124,314",826,5.1,,"125,107",852,4.8,,"126,088",885,4.8,,"127,447",799,4.8,,"129,115",885,4.7,,"130,250",855,4.6,," 131,640 "," 1,002 ",4.8,,"131,940",884,4.7
Bayside (C),"96,971",827,4.9,,"98,252",764,4.7,,"99,797",761,4.6,,"101,268",828,4.5,,"102,912",801,4.4,,"104,282",794,4.4,,"105,745",724,4.2,," 106,856 ", 849 ,4.3,,"107,541",817,4.2
Boroondara (C),"168,483","1,051",4.5,,"170,485","1,111",4.4,,"172,660","1,121",4.4,,"174,753","1,138",4.4,,"177,276","1,147",4.4,,"179,677","1,128",4.3,,"181,376","1,049",4.2,," 183,197 "," 1,156 ",4.1,,"183,023",999,4.0
Brimbank (C),"193,774",950,5.7,,"196,169",956,5.5,,"198,468","1,025",5.4,,"200,860","1,099",5.4,,"204,190","1,122",5.5,,"206,997","1,136",5.5,,"208,744","1,104",5.3,," 209,568 "," 1,287 ",5.4,,"208,247","1,202",5.3
Cardinia (S),"80,422",378,5.9,,"84,591",415,5.8,,"88,070",445,5.8,,"92,298",456,5.8,,"97,573",446,5.6,,"102,403",443,5.3,,"107,117",440,5.0,," 112,179 ", 522 ,5.0,,"116,193",496,5.0
Casey (C),"269,240","1,161",5.9,,"278,023","1,108",5.6,,"287,937","1,206",5.4,,"299,528","1,309",5.4,,"312,789","1,250",5.3,,"326,771","1,333",5.2,,"340,443","1,306",4.9,," 353,962 "," 1,573 ",5.1,,"364,600","1,474",5.0
Darebin (C),"144,986","1,053",5.7,,"147,272",940,5.5,,"149,511","1,084",5.5,,"151,974","1,127",5.5,,"155,126","1,032",5.5,,"158,751","1,102",5.4,,"161,653",964,5.1,," 164,224 "," 1,086 ",5.1,,"166,430","1,080",4.9
Frankston (C),"132,194",835,5.9,,"134,351",847,5.7,,"136,181",870,5.5,,"137,790",978,5.7,,"139,502",958,5.8,,"140,718",914,5.7,,"141,847",921,5.5,," 142,645 "," 1,150 ",5.7,,"143,338",902,5.6
Glen Eira (C),"139,116",925,4.8,,"141,260",915,4.7,,"143,694",942,4.6,,"145,924",971,4.6,,"148,583",931,4.6,,"151,457",986,4.5,,"153,920",941,4.4,," 156,535 ", 976 ,4.4,,"158,216",934,4.4
Greater Dandenong (C),"145,116",960,5.9,,"148,502",909,5.7,,"152,135","1,017",5.7,,"156,061","1,029",5.7,,"160,222","1,060",5.8,,"163,518","1,003",5.6,,"166,140",963,5.4,," 168,261 "," 1,135 ",5.3,,"168,362","1,047",5.2
Hobsons Bay (C),"88,339",588,5.9,,"89,188",580,5.7,,"90,417",583,5.5,,"91,674",637,5.5,,"93,445",608,5.4,,"95,071",636,5.4,,"96,481",547,5.0,," 97,765 ", 657 ,4.9,,"98,189",636,4.8
Hume (C),"179,202",730,6.1,,"184,873",672,5.7,,"191,278",750,5.5,,"198,176",848,5.4,,"207,041",849,5.6,,"215,238",882,5.5,,"224,423",826,5.2,," 233,545 ", 935 ,5.0,,"241,188",947,4.8
Kingston (C) (Vic.),"150,435","1,020",5.2,,"152,336","1,065",5.1,,"154,210","1,071",4.9,,"156,244","1,066",4.9,,"158,941","1,033",4.8,,"161,051","1,125",4.8,,"163,452","1,086",4.7,," 165,804 "," 1,131 ",4.7,,"167,293","1,107",4.6
Knox (C),"155,406",908,5.6,,"156,347",941,5.5,,"157,434",985,5.4,,"158,700",962,5.4,,"160,353","1,010",5.3,,"161,827","1,011",5.2,,"163,212",901,5.0,," 164,553 "," 1,095 ",5.0,,"165,147","1,011",4.9
Manningham (C),"117,440",794,4.5,,"118,357",730,4.3,,"119,437",817,4.2,,"120,785",906,4.2,,"122,570",890,4.3,,"124,270",935,4.3,,"125,535",847,4.0,," 127,585 "," 1,001 ",4.1,,"128,929",948,3.9
Maribyrnong (C),"77,179",452,6.2,,"79,782",422,6.1,,"82,463",460,6.0,,"84,783",491,6.1,,"86,942",441,6.0,,"89,362",483,6.1,,"91,413",486,6.0,," 93,482 ", 512 ,6.2,,"94,982",495,6.1
Maroondah (C),"108,434",772,5.7,,"109,781",783,5.6,,"111,421",806,5.5,,"113,023",859,5.6,,"114,800",808,5.6,,"116,321",781,5.4,,"117,505",763,5.1,," 118,569 ", 880 ,5.1,,"119,401",804,5.1
